Name,Href,Birthday,Debut,Position,Team
Manuel Margot,/players/m/margoma01.shtml,"['September 28', '1994']","['\n    September 21, 2016\n    ']",['\n    Centerfielder\n  \n'],['Minnesota Twins']
Ron Marinaccio,/players/m/marinro01.shtml,"['July 1', '1995']","['\n    April 9, 2022\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Michael Mariot,/players/m/mariomi01.shtml,"['October 20', '1988']","['\n    April 11, 2014\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Jake Marisnick,/players/m/marisja01.shtml,"['March 30', '1991']","['\n    July 23, 2013\n    ']",['\n    Centerfielder\n  \n'],['Los Angeles Angels']
Cade Marlowe,/players/m/marloca01.shtml,"['June 24', '1997']","['\n    July 20, 2023\n    ']",['\n    Leftfielder\n  \n'],['Seattle Mariners']
Germán Márquez,/players/m/marquge01.shtml,"['February 22', '1995']","['\n    September 8, 2016\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Alec Marsh,/players/m/marshal01.shtml,"['May 14', '1998']","['\n    June 30, 2023\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Brandon Marsh,/players/m/marshbr02.shtml,"['December 18', '1997']","['\n    July 18, 2021\n    ']",['\n    Centerfielder\n  \n'],['Philadelphia Phillies']
José Marte,/players/m/martejo01.shtml,"['June 14', '1996']","['\n    August 20, 2021\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Ketel Marte,/players/m/marteke01.shtml,"['October 12', '1993']","['\n    July 31, 2015\n    ']","['\n    Second Baseman, Shortstop and Centerfielder\n  \n']",['Arizona Diamondbacks']
Noelvi Marte,/players/m/marteno01.shtml,"['October 16', '2001']","['\n    August 19, 2023\n    ']",['\n    Third Baseman and Shortstop\n  \n'],['Cincinnati Reds']
Starling Marte,/players/m/martest01.shtml,"['October 9', '1988']","['\n    July 26, 2012\n    ']",['\n    Outfielder\n  \n'],['New York Mets']
Yunior Marte,/players/m/marteyu01.shtml,"['February 2', '1995']","['\n    April 12, 2022\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Austin Martin,/players/m/martiau01.shtml,"['March 23', '1999']",[],"['\n    Outfielder, Pinch Runner and Second Baseman\n  \n']",['Minnesota Twins']
Chris Martin,/players/m/martich02.shtml,"['June 2', '1986']","['\n    April 26, 2014\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
Corbin Martin,/players/m/martico02.shtml,"['December 28', '1995']","['\n    May 12, 2019\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Davis Martin,/players/m/martida03.shtml,"['January 4', '1997']","['\n    May 17, 2022\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Jason Martin,/players/m/martija03.shtml,"['September 5', '1995']","['\n    April 6, 2019\n    ']",['\n    Leftfielder\n  \n'],['Los Angeles Angels']
Adrián Martinez,/players/m/martiad01.shtml,"['December 10', '1996']","['\n    May 10, 2022\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
J.D. Martinez,/players/m/martijd02.shtml,"['August 21', '1987']","['\n    July 30, 2011\n    ']",['\n    Outfielder and Designated Hitter\n  \n'],['New York Mets']
J.P. Martínez,/players/m/martijp01.shtml,"['March 21', '1996']","['\n    August 11, 2023\n    ']",['\n    Outfielder\n  \n'],['Atlanta Braves']
Justin Martinez,/players/m/martiju01.shtml,"['July 30', '2001']","['\n    July 7, 2023\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Nick Martinez,/players/m/martini01.shtml,"['August 5', '1990']","['\n    April 5, 2014\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Seth Martinez,/players/m/martise01.shtml,"['August 29', '1994']","['\n    September 20, 2021\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Nick Martini,/players/m/martini02.shtml,"['June 27', '1990']","['\n    June 6, 2018\n    ']",['\n    Leftfielder and Pinch Hitter\n  \n'],['Cincinnati Reds']
Michael Massey,/players/m/massemi02.shtml,"['March 22', '1998']","['\n    July 15, 2022\n    ']",['\n    Second Baseman\n  \n'],['Kansas City Royals']
Miles Mastrobuoni,/players/m/mastrmi01.shtml,"['October 31', '1995']","['\n    September 22, 2022\n    ']","['\n    Third Baseman, Second Baseman and Rightfielder\n  \n']",['Chicago Cubs']
Jorge Mateo,/players/m/mateojo01.shtml,"['June 23', '1995']","['\n    August 13, 2020\n    ']","['\n    Shortstop, Outfielder and Second Baseman\n  \n']",['Baltimore Orioles']
Mark Mathias,/players/m/mathima01.shtml,"['August 2', '1994']","['\n    August 4, 2020\n    ']","['\n    Second Baseman, Designated Hitter and Rightfielder\n  \n']",['Cincinnati Reds']
Nick Maton,/players/m/matonni01.shtml,"['February 18', '1997']","['\n    April 19, 2021\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['Baltimore Orioles']
Phil Maton,/players/m/matonph01.shtml,"['March 25', '1993']","['\n    June 11, 2017\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Luis Matos,/players/m/matoslu02.shtml,"['January 28', '2002']","['\n    June 14, 2023\n    ']",['\n    Centerfielder\n  \n'],['San Francisco Giants']
Yuki Matsui,/players/m/matsuyu01.shtml,"['October 30', '1995']",[],['\n    Pitcher\n  \n'],['San Diego Padres']
Isaac Mattson,/players/m/mattsis01.shtml,"['July 14', '1995']","['\n    May 7, 2021\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Steven Matz,/players/m/matzst01.shtml,"['May 29', '1991']","['\n    June 28, 2015\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Tyler Matzek,/players/m/matzety01.shtml,"['October 19', '1990']","['\n    June 11, 2014\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Ronny Mauricio,/players/m/mauriro01.shtml,"['April 4', '2001']","['\n    September 1, 2023\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['New York Mets']
Dustin May,/players/m/maydu01.shtml,"['September 6', '1997']","['\n    August 2, 2019\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Mike Mayers,/players/m/mayermi01.shtml,"['December 6', '1991']","['\n    July 24, 2016\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Tim Mayza,/players/m/mayzati01.shtml,"['January 15', '1992']","['\n    August 15, 2017\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
James McArthur,/players/m/mcartja01.shtml,"['December 11', '1996']","['\n    June 28, 2023\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
James McCann,/players/m/mccanja02.shtml,"['June 13', '1990']","['\n    September 1, 2014\n    ']",['\n    Catcher\n  \n'],['Baltimore Orioles']
Kyle McCann,/players/m/mccanky01.shtml,"['December 2', '1997']",[],['\n    Catcher\n  \n'],['Oakland Athletics']
Jake McCarthy,/players/m/mccarja02.shtml,"['July 30', '1997']","['\n    August 27, 2021\n    ']",['\n    Rightfielder\n  \n'],['Arizona Diamondbacks']
Darren McCaughan,/players/m/mccauda01.shtml,"['March 18', '1996']","['\n    July 21, 2021\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Shane McClanahan,/players/m/mcclash01.shtml,"['April 28', '1997']","['\n    October 5, 2020\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Chas McCormick,/players/m/mccorch01.shtml,"['April 19', '1995']","['\n    April 1, 2021\n    ']",['\n    Outfielder\n  \n'],['Houston Astros']
Mason McCoy,/players/m/mccoyma01.shtml,"['March 31', '1995']","['\n    August 30, 2023\n    ']",['\n    Shortstop\n  \n'],['San Diego Padres']
Lance McCullers Jr.,/players/m/mcculla02.shtml,"['October 2', '1993']","['\n    May 18, 2015\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Andrew McCutchen,/players/m/mccutan01.shtml,"['October 10', '1986']","['\n    June 4, 2009\n    ']",['\n    Centerfielder\n  \n'],['Pittsburgh Pirates']
T.J. McFarland,/players/m/mcfartj01.shtml,"['June 8', '1989']","['\n    April 6, 2013\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Easton McGee,/players/m/mcgeeea01.shtml,"['December 26', '1997']","['\n    October 2, 2022\n    ']",['\n    Pitcher\n  \n'],['Milwaukee Brewers']
Scott McGough,/players/m/mcgousc01.shtml,"['October 31', '1989']","['\n    August 20, 2015\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Reese McGuire,/players/m/mcguire01.shtml,"['March 2', '1995']","['\n    September 6, 2018\n    ']",['\n    Catcher\n  \n'],['Boston Red Sox']
Brendan McKay,/players/m/mckaybr01.shtml,"['December 18', '1995']","['\n    June 29, 2019\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Ryan McKenna,/players/m/mckenry01.shtml,"['February 14', '1997']","['\n    April 5, 2021\n    ']",['\n    Outfielder\n  \n'],['Baltimore Orioles']
Triston McKenzie,/players/m/mckentr01.shtml,"['August 2', '1997']","['\n    August 22, 2020\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Billy McKinney,/players/m/mckinbi01.shtml,"['August 23', '1994']","['\n    March 30, 2018\n    ']",['\n    Outfielder and First Baseman\n  \n'],['Pittsburgh Pirates']
Zach McKinstry,/players/m/mckinza01.shtml,"['April 29', '1995']","['\n    September 16, 2020\n    ']","['\n    Outfielder, Second Baseman and Third Baseman\n  \n']",['Detroit Tigers']
Matt McLain,/players/m/mclaima01.shtml,"['August 6', '1999']","['\n    May 15, 2023\n    ']",['\n    Shortstop and Second Baseman\n  \n'],['Cincinnati Reds']
Ryan McMahon,/players/m/mcmahry01.shtml,"['December 14', '1994']","['\n    August 12, 2017\n    ']","['\n    Third Baseman, Second Baseman and First Baseman\n  \n']",['Colorado Rockies']
John McMillon,/players/m/mcmiljo01.shtml,"['January 27', '1998']","['\n    August 17, 2023\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Jeff McNeil,/players/m/mcneije01.shtml,"['April 8', '1992']","['\n    July 24, 2018\n    ']","['\n    Second Baseman, Leftfielder and Third Baseman\n  \n']",['New York Mets']
Curtis Mead,/players/m/meadcu01.shtml,"['October 26', '2000']","['\n    August 4, 2023\n    ']",['\n    Third Baseman and Second Baseman\n  \n'],['Tampa Bay Rays']
Parker Meadows,/players/m/meadopa01.shtml,"['November 2', '1999']","['\n    August 21, 2023\n    ']",['\n    Centerfielder\n  \n'],['Detroit Tigers']
John Means,/players/m/meansjo01.shtml,"['April 24', '1993']","['\n    September 26, 2018\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Nick Mears,/players/m/mearsni01.shtml,"['October 7', '1996']","['\n    August 8, 2020\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Wade Meckler,/players/m/mecklwa01.shtml,"['April 21', '2000']","['\n    August 14, 2023\n    ']",['\n    Centerfielder\n  \n'],['San Francisco Giants']
Victor Mederos,/players/m/medervi01.shtml,"['June 8', '2001']","['\n    June 30, 2023\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Adonis Medina,/players/m/medinad01.shtml,"['December 18', '1996']","['\n    September 20, 2020\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Luis Medina,/players/m/medinlu02.shtml,"['May 3', '1999']","['\n    April 26, 2023\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Trevor Megill,/players/m/megiltr01.shtml,"['December 5', '1993']","['\n    April 26, 2021\n    ']",['\n    Pitcher\n  \n'],['Milwaukee Brewers']
Tylor Megill,/players/m/megilty01.shtml,"['July 28', '1995']","['\n    June 23, 2021\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Erick Mejia,/players/m/mejiaer01.shtml,"['November 9', '1994']","['\n    September 5, 2019\n    ']","['\n    Centerfielder, Third Baseman and Second Baseman\n  \n']",['Washington Nationals']
Francisco Mejia,/players/m/mejiafr01.shtml,"['October 27', '1995']","['\n    September 1, 2017\n    ']",['\n    Catcher\n  \n'],['Milwaukee Brewers']
MJ Melendez,/players/m/melenmj01.shtml,"['November 29', '1998']","['\n    May 3, 2022\n    ']",['\n    Outfielder and Catcher\n  \n'],['Kansas City Royals']
Danny Mendick,/players/m/mendida01.shtml,"['September 28', '1993']","['\n    September 3, 2019\n    ']","['\n    Second Baseman, Shortstop and Third Baseman\n  \n']",['Chicago White Sox']
Joey Meneses,/players/m/menesjo01.shtml,"['May 6', '1992']","['\n    August 2, 2022\n    ']","['\n    Designated Hitter, First Baseman and Rightfielder\n  \n']",['Washington Nationals']
Óscar Mercado,/players/m/mercaos01.shtml,"['December 16', '1994']","['\n    May 14, 2019\n    ']",['\n    Outfielder\n  \n'],['San Diego Padres']
Whit Merrifield,/players/m/merriwh01.shtml,"['January 24', '1989']","['\n    May 18, 2016\n    ']",['\n    Second Baseman and Outfielder\n  \n'],['Philadelphia Phillies']
Jackson Merrill,/players/m/merrija01.shtml,"['April 19', '2003']",[],['\n    Centerfielder\n  \n'],['San Diego Padres']
Julian Merryweather,/players/m/merryju01.shtml,"['October 14', '1991']","['\n    August 20, 2020\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Matt Mervis,/players/m/mervima01.shtml,"['April 16', '1998']","['\n    May 5, 2023\n    ']",['\n    First Baseman\n  \n'],['Chicago Cubs']
Max Meyer,/players/m/meyerma01.shtml,"['March 12', '1999']","['\n    July 16, 2022\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Jake Meyers,/players/m/meyerja02.shtml,"['June 18', '1996']","['\n    August 1, 2021\n    ']",['\n    Centerfielder\n  \n'],['Houston Astros']
Keynan Middleton,/players/m/middlke01.shtml,"['September 12', '1993']","['\n    May 5, 2017\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Miles Mikolas,/players/m/mikolmi01.shtml,"['August 23', '1988']","['\n    May 5, 2012\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Wade Miley,/players/m/mileywa01.shtml,"['November 13', '1986']","['\n    August 20, 2011\n    ']",['\n    Pitcher\n  \n'],['Milwaukee Brewers']
Drew Millas,/players/m/milladr01.shtml,"['January 15', '1998']","['\n    August 28, 2023\n    ']",['\n    Catcher\n  \n'],['Washington Nationals']
Bobby Miller,/players/m/millebo06.shtml,"['April 5', '1999']","['\n    May 23, 2023\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Bryce Miller,/players/m/millebr04.shtml,"['August 23', '1998']","['\n    May 2, 2023\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Erik Miller,/players/m/milleer01.shtml,"['February 13', '1998']",[],['\n    Pitcher\n  \n'],['San Francisco Giants']
Mason Miller,/players/m/millema03.shtml,"['August 24', '1998']","['\n    April 19, 2023\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Owen Miller,/players/m/milleow01.shtml,"['November 15', '1996']","['\n    May 23, 2021\n    ']","['\n    First Baseman, Second Baseman and Third Baseman\n  \n']",['Milwaukee Brewers']
Shelby Miller,/players/m/millesh01.shtml,"['October 10', '1990']","['\n    September 5, 2012\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Tyson Miller,/players/m/millety01.shtml,"['July 29', '1995']","['\n    August 17, 2020\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Wyatt Mills,/players/m/millswy01.shtml,"['January 25', '1995']","['\n    May 1, 2021\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
Hoby Milner,/players/m/milneho01.shtml,"['January 13', '1991']","['\n    June 24, 2017\n    ']",['\n    Pitcher\n  \n'],['Milwaukee Brewers']
A.J. Minter,/players/m/minteaj01.shtml,"['September 2', '1993']","['\n    August 23, 2017\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
José Miranda,/players/m/miranjo01.shtml,"['June 29', '1998']","['\n    May 2, 2022\n    ']",['\n    First Baseman and Third Baseman\n  \n'],['Minnesota Twins']
Anthony Misiewicz,/players/m/misiean01.shtml,"['November 1', '1994']","['\n    July 24, 2020\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Calvin Mitchell,/players/m/mitchca01.shtml,"['March 8', '1999']","['\n    May 24, 2022\n    ']",['\n    Rightfielder\n  \n'],['San Diego Padres']
Garrett Mitchell,/players/m/mitchga01.shtml,"['September 4', '1998']","['\n    August 27, 2022\n    ']",['\n    Centerfielder\n  \n'],['Milwaukee Brewers']
Casey Mize,/players/m/mizeca01.shtml,"['May 1', '1997']","['\n    August 19, 2020\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Carmen Mlodzinski,/players/m/mlodzca01.shtml,"['February 19', '1999']","['\n    June 16, 2023\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Anthony Molina,/players/m/molinan01.shtml,"['January 12', '2002']",[],['\n    Pitcher\n  \n'],['Colorado Rockies']
Sam Moll,/players/m/mollsa01.shtml,"['January 3', '1992']","['\n    September 1, 2017\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Andruw Monasterio,/players/m/monasan01.shtml,"['May 30', '1997']","['\n    May 28, 2023\n    ']","['\n    Third Baseman, Second Baseman and Shortstop\n  \n']",['Milwaukee Brewers']
Yoán Moncada,/players/m/moncayo01.shtml,"['May 27', '1995']","['\n    September 2, 2016\n    ']",['\n    Third Baseman and Second Baseman\n  \n'],['Chicago White Sox']
Nate Mondou,/players/m/mondona01.shtml,"['March 24', '1995']","['\n    October 4, 2022\n    ']",['\n    Second Baseman\n  \n'],['San Diego Padres']
Mickey Moniak,/players/m/moniami01.shtml,"['May 13', '1998']","['\n    September 16, 2020\n    ']",['\n    Outfielder\n  \n'],['Los Angeles Angels']
Frankie Montas,/players/m/montafr02.shtml,"['March 21', '1993']","['\n    September 2, 2015\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Elehuris Montero,/players/m/monteel01.shtml,"['August 17', '1998']","['\n    May 1, 2022\n    ']",['\n    First Baseman and Third Baseman\n  \n'],['Colorado Rockies']
Rafael Montero,/players/m/montera01.shtml,"['October 17', '1990']","['\n    May 14, 2014\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Coco Montes,/players/m/monteco01.shtml,"['October 7', '1996']","['\n    June 11, 2023\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['Colorado Rockies']
Bryce Montes de Oca,/players/m/montebr01.shtml,"['April 23', '1996']","['\n    September 3, 2022\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Jordan Montgomery,/players/m/montgjo01.shtml,"['December 27', '1992']","['\n    April 12, 2017\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Dylan Moore,/players/m/mooredy01.shtml,"['August 2', '1992']","['\n    March 20, 2019\n    ']","['\n    Outfielder, Second Baseman and Shortstop\n  \n']",['Seattle Mariners']
Matt Moore,/players/m/moorema02.shtml,"['June 18', '1989']","['\n    September 14, 2011\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
McKinley Moore,/players/m/mooremc01.shtml,"['August 24', '1998']","['\n    April 10, 2023\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Francisco Morales,/players/m/moralfr02.shtml,"['October 27', '1999']","['\n    May 9, 2022\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Brian Moran,/players/m/moranbr01.shtml,"['September 30', '1988']","['\n    September 5, 2019\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Jovani Morán,/players/m/moranjo01.shtml,"['April 24', '1997']","['\n    September 12, 2021\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Adrián Morejón,/players/m/morejad01.shtml,"['February 27', '1999']","['\n    July 21, 2019\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
Christopher Morel,/players/m/morelch01.shtml,"['June 24', '1999']","['\n    May 17, 2022\n    ']","['\n    Centerfielder, Designated Hitter and Second Baseman\n  \n']",['Chicago Cubs']
Gabriel Moreno,/players/m/morenga01.shtml,"['February 14', '2000']","['\n    June 11, 2022\n    ']",['\n    Catcher\n  \n'],['Arizona Diamondbacks']
Dauri Moreta,/players/m/moretda01.shtml,"['April 15', '1996']","['\n    September 26, 2021\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Eli Morgan,/players/m/morgael01.shtml,"['May 13', '1996']","['\n    May 28, 2021\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Cody Morris,/players/m/morrico01.shtml,"['November 4', '1996']","['\n    September 2, 2022\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Charlie Morton,/players/m/mortoch02.shtml,"['November 12', '1983']","['\n    June 14, 2008\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Ryan Mountcastle,/players/m/mountry01.shtml,"['February 18', '1997']","['\n    August 21, 2020\n    ']",['\n    First Baseman and Leftfielder\n  \n'],['Baltimore Orioles']
Kyle Muller,/players/m/mulleky01.shtml,"['October 7', '1997']","['\n    June 16, 2021\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Cedric Mullins,/players/m/mullice01.shtml,"['October 1', '1994']","['\n    August 10, 2018\n    ']",['\n    Centerfielder\n  \n'],['Baltimore Orioles']
Max Muncy,/players/m/muncyma01.shtml,"['August 25', '1990']","['\n    April 25, 2015\n    ']","['\n    Third Baseman, First Baseman and Second Baseman\n  \n']",['Los Angeles Dodgers']
Andrés Muñoz,/players/m/munozan01.shtml,"['January 16', '1999']","['\n    July 12, 2019\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Penn Murfee,/players/m/murfepe01.shtml,"['May 2', '1994']","['\n    April 29, 2022\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Chris Murphy,/players/m/murphch01.shtml,"['June 5', '1998']","['\n    June 7, 2023\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
Sean Murphy,/players/m/murphse01.shtml,"['October 4', '1994']","['\n    September 4, 2019\n    ']",['\n    Catcher\n  \n'],['Atlanta Braves']
Tom Murphy,/players/m/murphto04.shtml,"['April 3', '1991']","['\n    September 12, 2015\n    ']",['\n    Catcher\n  \n'],['San Francisco Giants']
Joe Musgrove,/players/m/musgrjo01.shtml,"['December 4', '1992']","['\n    August 2, 2016\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
Parker Mushinski,/players/m/mushipa01.shtml,"['November 22', '1995']","['\n    April 17, 2022\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Símon Muzziotti,/players/m/muzzisi01.shtml,"['December 27', '1998']","['\n    April 11, 2022\n    ']",['\n    Centerfielder\n  \n'],['Philadelphia Phillies']
Dane Myers,/players/m/myersda01.shtml,"['March 8', '1996']","['\n    July 4, 2023\n    ']",['\n    Centerfielder\n  \n'],['Miami Marlins']
Tommy Nance,/players/n/nanceto01.shtml,"['March 19', '1991']","['\n    May 17, 2021\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
Andrew Nardi,/players/n/nardian01.shtml,"['August 18', '1998']","['\n    August 16, 2022\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Omar Narváez,/players/n/narvaom01.shtml,"['February 10', '1992']","['\n    July 17, 2016\n    ']",['\n    Catcher\n  \n'],['New York Mets']
Packy Naughton,/players/n/naughpa01.shtml,"['April 16', '1996']","['\n    August 8, 2021\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Brian Navarreto,/players/n/navarbr01.shtml,"['December 29', '1994']","['\n    August 23, 2020\n    ']",['\n    Catcher\n  \n'],['Milwaukee Brewers']
Edgar Navarro,/players/n/navared01.shtml,"['February 5', '1998']","['\n    July 30, 2023\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Bo Naylor,/players/n/naylobo01.shtml,"['February 21', '2000']","['\n    October 1, 2022\n    ']",['\n    Catcher\n  \n'],['Cleveland Guardians']
Josh Naylor,/players/n/naylojo01.shtml,"['June 22', '1997']","['\n    May 24, 2019\n    ']",['\n    First Baseman and Outfielder\n  \n'],['Cleveland Guardians']
Kyle Nelson,/players/n/nelsoky01.shtml,"['July 8', '1996']","['\n    September 10, 2020\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Nick Nelson,/players/n/nelsoni01.shtml,"['December 5', '1995']","['\n    August 1, 2020\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Ryne Nelson,/players/n/nelsory01.shtml,"['February 1', '1998']","['\n    September 5, 2022\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Héctor Neris,/players/n/nerishe01.shtml,"['June 14', '1989']","['\n    August 5, 2014\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Zach Neto,/players/n/netoza01.shtml,"['January 31', '2001']","['\n    April 15, 2023\n    ']",['\n    Shortstop\n  \n'],['Los Angeles Angels']
Tyler Nevin,/players/n/nevinty01.shtml,"['May 29', '1997']","['\n    May 29, 2021\n    ']","['\n    Third Baseman, First Baseman and Leftfielder\n  \n']",['Oakland Athletics']
Sean Newcomb,/players/n/newcose01.shtml,"['June 12', '1993']","['\n    June 10, 2017\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Kevin Newman,/players/n/newmake01.shtml,"['August 4', '1993']","['\n    August 16, 2018\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",['Arizona Diamondbacks']
Kyle Nicolas,/players/n/nicolky01.shtml,"['February 22', '1999']","['\n    September 19, 2023\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Tomás Nido,/players/n/nidoto01.shtml,"['April 12', '1994']","['\n    September 13, 2017\n    ']",['\n    Catcher\n  \n'],['New York Mets']
Brandon Nimmo,/players/n/nimmobr01.shtml,"['March 27', '1993']","['\n    June 26, 2016\n    ']",['\n    Centerfielder\n  \n'],['New York Mets']
Vinny Nittoli,/players/n/nittovi01.shtml,"['November 11', '1990']","['\n    June 23, 2021\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Ryan Noda,/players/n/nodary01.shtml,"['March 30', '1996']","['\n    March 30, 2023\n    ']",['\n    First Baseman and Rightfielder\n  \n'],['Oakland Athletics']
Stephen Nogosek,/players/n/nogosst01.shtml,"['January 11', '1995']","['\n    June 19, 2019\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Aaron Nola,/players/n/nolaaa01.shtml,"['June 4', '1993']","['\n    July 21, 2015\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Austin Nola,/players/n/nolaau01.shtml,"['December 28', '1989']","['\n    June 16, 2019\n    ']","['\n    Catcher, First Baseman and Second Baseman\n  \n']",['Kansas City Royals']
Lars Nootbaar,/players/n/nootbla01.shtml,"['September 8', '1997']","['\n    June 22, 2021\n    ']",['\n    Outfielder\n  \n'],['St. Louis Cardinals']
Dedniel Núñez,/players/n/nunezde01.shtml,"['June 5', '1996']",[],['\n    Pitcher\n  \n'],['New York Mets']
Dom Nuñez,/players/n/nunezdo01.shtml,"['January 17', '1995']","['\n    August 13, 2019\n    ']",['\n    Catcher\n  \n'],['Cleveland Guardians']
Nasim Nuñez,/players/n/nunezna01.shtml,"['August 18', '2000']",[],"['\n    Pinch Runner, Shortstop and Second Baseman\n  \n']",['Washington Nationals']
Riley O'Brien,/players/o/obrieri01.shtml,"['February 6', '1995']","['\n    September 28, 2021\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Ryan O'Hearn,/players/o/ohearry01.shtml,"['July 26', '1993']","['\n    July 31, 2018\n    ']",['\n    First Baseman and Rightfielder\n  \n'],['Baltimore Orioles']
Logan O'Hoppe,/players/o/ohopplo01.shtml,"['February 9', '2000']","['\n    September 28, 2022\n    ']",['\n    Catcher\n  \n'],['Los Angeles Angels']
